DropQ_0_GROUP_1,DropQ_0_1_RANK,DropQ_1_GROUP_1,DropQ_0_GROUP_2,DropQ_0_2_RANK,DropQ_1_GROUP_2,DropQ_0_GROUP_3,DropQ_0_3_RANK,DropQ_1_GROUP_3,DropQ_0_GROUP_4,DropQ_0_4_RANK,DropQ_1_GROUP_4,DropQ_0_GROUP_5,DropQ_0_5_RANK,DropQ_1_GROUP_5,DropQ_0_GROUP_6,DropQ_0_6_RANK,DropQ_1_GROUP_6,DropQ_0_GROUP_7,DropQ_0_7_RANK,DropQ_1_GROUP_7,DropQ_0_GROUP_8,DropQ_0_8_RANK,DropQ_1_GROUP_8,DropQ_0_GROUP_9,DropQ_0_9_RANK,DropQ_1_GROUP_9,PushQ_0_GROUP_1,PushQ_0_1_RANK,PushQ_1_GROUP_1,PushQ_0_GROUP_2,PushQ_0_2_RANK,PushQ_1_GROUP_2,PushQ_0_GROUP_3,PushQ_0_3_RANK,PushQ_1_GROUP_3,PushQ_0_GROUP_4,PushQ_0_4_RANK,PushQ_1_GROUP_4,PushQ_0_GROUP_5,PushQ_0_5_RANK,PushQ_1_GROUP_5,PushQ_0_GROUP_6,PushQ_0_6_RANK,PushQ_1_GROUP_6,PushQ_0_GROUP_7,PushQ_0_7_RANK,PushQ_1_GROUP_7,PushQ_0_GROUP_8,PushQ_0_8_RANK,PushQ_1_GROUP_8,PushQ_0_GROUP_9,PushQ_0_9_RANK,PushQ_1_GROUP_9,PullQ_0_GROUP_1,PullQ_0_1_RANK,PullQ_1_GROUP_1,PullQ_0_GROUP_2,PullQ_0_2_RANK,PullQ_1_GROUP_2,PullQ_0_GROUP_3,PullQ_0_3_RANK,PullQ_1_GROUP_3,PullQ_0_GROUP_4,PullQ_0_4_RANK,PullQ_1_GROUP_4,PullQ_0_GROUP_5,PullQ_0_5_RANK,PullQ_1_GROUP_5,PullQ_0_GROUP_6,PullQ_0_6_RANK,PullQ_1_GROUP_6,PullQ_0_GROUP_7,PullQ_0_7_RANK,PullQ_1_GROUP_7,PullQ_0_GROUP_8,PullQ_0_8_RANK,PullQ_1_GROUP_8,PullQ_0_GROUP_9,PullQ_0_9_RANK,PullQ_1_GROUP_9,scene,condition,CATCH2,CATCH3,invalid,ATESTQ_0_2_RANK,ATESTQ_0_4_RANK,ATESTQ_0_5_RANK,ATESTQ_1_1_RANK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pulled thing relative to the other thing (e.g. to the left/right/front/back),The size of the pulled thing,3.0,,,,The trajectory of the pulled thing,,,A person who pulled the thing,The type of the thing being pulled (e.g. what object was it?),1.0,,The type of the other thing (e.g. what object was it?),2.0,,The color of the pulled thing,5.0,,The color of the other thing,6.0,,The apparent material of the pulled thing,4.0,,Pull,2000ms,I had to imagine the scene and then select what I imagined.,What color the object was.,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pulled thing relative to the other thing (e.g. to the left/right/front/back),3.0,,The size of the pulled thing,5.0,,The trajectory of the pulled thing,4.0,,,,A person who pulled the thing,The type of the thing being pulled (e.g. what object was it?),1.0,,,,The type of the other thing (e.g. what object was it?),,,The color of the pulled thing,,,The color of the other thing,The apparent material of the pulled thing,2.0,,Pull,500ms,listening to an audio description and visualizing it,color of item,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),3.0,,,,The weight of the pushed thing,The direction of movement of the pushed thing,8.0,,A surface/table/floor,4.0,,The type of the thing being pushed (e.g. what object was it?),5.0,,The type of the other thing (e.g. what object was it?),6.0,,The color of the pushed thing,1.0,,The color of the other thing,2.0,,The apparent material of the pushed thing,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,250ms,"I heard an audio clip telling me what to imagine, with very little time to imagine it. Afterward, I answered questions about what I imagined.",The weight of the item,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),1.0,,The size of the dropped thing,2.0,,The trajectory of the dropped thing,3.0,,,,A person who dropped the thing,The type of the thing being dropped (e.g. what object was it?),4.0,,The type of the other thing (e.g. what object was it?),7.0,,The color of the dropped thing,6.0,,The color of the other thing,5.0,,,,The apparent material of the dropped thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,250ms,I was asked to imagine an item being dropped next to another item and to indicate and rank the elements that I envisioned.,The location of the dropped item relative to the other item.,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),7.0,,The weight of the pushed thing,5.0,,The direction of movement of the pushed thing,6.0,,A surface/table/floor,1.0,,The type of the thing being pushed (e.g. what object was it?),3.0,,The type of the other thing (e.g. what object was it?),2.0,,The color of the pushed thing,4.0,,,,The color of the other thing,,,The apparent material of the pushed thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,1000ms,"Given audible instructions, I was to imagine the scenario and then perform the task give to me. ",The weight of the item being pushed. ,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),1.0,,The size of the dropped thing,5.0,,The trajectory of the dropped thing,2.0,,A person who dropped the thing,6.0,,,,The type of the thing being dropped (e.g. what object was it?),The type of the other thing (e.g. what object was it?),4.0,,,,The color of the dropped thing,,,The color of the other thing,The apparent material of the dropped thing,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,500ms,Make a mental image of something described via audio,material of the dropped thing,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pulled thing relative to the other thing (e.g. to the left/right/front/back),3.0,,,,The size of the pulled thing,The trajectory of the pulled thing,4.0,,,,A person who pulled the thing,The type of the thing being pulled (e.g. what object was it?),1.0,,The type of the other thing (e.g. what object was it?),2.0,,,,The color of the pulled thing,,,The color of the other thing,,,The apparent material of the pulled thing,Pull,1000ms,Imagining a scenario and detailing it through putting notions into boxes.,Trajectory.,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pulled thing relative to the other thing (e.g. to the left/right/front/back),5.0,,The size of the pulled thing,4.0,,The trajectory of the pulled thing,2.0,,,,A person who pulled the thing,The type of the thing being pulled (e.g. what object was it?),3.0,,The type of the other thing (e.g. what object was it?),1.0,,,,The color of the pulled thing,,,The color of the other thing,,,The apparent material of the pulled thing,Pull,250ms,To imagine something being pulled out of something else and report on my imagination,The trajectory of the pulled thing,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pulled thing relative to the other thing (e.g. to the left/right/front/back),2.0,,The size of the pulled thing,3.0,,,,The trajectory of the pulled thing,,,A person who pulled the thing,The type of the thing being pulled (e.g. what object was it?),1.0,,The type of the other thing (e.g. what object was it?),4.0,,,,The color of the pulled thing,,,The color of the other thing,,,The apparent material of the pulled thing,Pull,250ms,Imagine a scene in which you pull something from something else.  ,The person pulling the item ,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),7.0,,The size of the dropped thing,5.0,,The trajectory of the dropped thing,3.0,,A person who dropped the thing,2.0,,The type of the thing being dropped (e.g. what object was it?),1.0,,The type of the other thing (e.g. what object was it?),4.0,,,,The color of the dropped thing,,,The color of the other thing,The apparent material of the dropped thing,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,1000ms,To imagine something being dropped near another thing. ,What what being dropped,,2.0,1.0,3.0,1.0
